Name,Positions,Age,OVA,Potential,Team,Contract,Value,Wage,Total
Juan Carlos,GK,34,73,73,Girona FC,2019 ~ 2023,€525K,€15K,1303
C. Dawson,CB,32,78,78,West Ham United,2021 ~ 2023,€9M,€60K,1729
A. Mooy,CM,31,76,76,Celtic,2022 ~ 2024,€6M,€49K,2069
D. Di Quinzio,CM,33,65,65,Pisa,2022 ~ 2023,€450K,€1K,1852
Borja Bastón,ST,29,75,75,Real Oviedo,2021 ~ 2023,€5.5M,€12K,1769
R. Petrović,CDM,33,70,70,Real Zaragoza,2021 ~ 2023,€800K,€6K,1658
22 Fransérgio,CM,30,78,78,FC Girondins de Bordeaux,2021 ~ 2024,€13.5M,€29K,2065
J. Marquis,ST,30,64,64,Bristol Rovers,2022 ~ 2024,€575K,€3K,1704
T. Cairney,CM,31,75,75,Fulham,2015 ~ 2024,€4.6M,€49K,1955
C. Hussey,LWB,33,63,63,Port Vale,2022 ~ 2024,€250K,€2K,1712
D. Caligiuri,RM,34,75,75,FC Augsburg,2020 ~ 2023,€2.6M,€26K,2101
N. Lodeiro,CAM,33,79,79,Seattle Sounders FC,2016 ~ 2023,€11M,€12K,2028
K. Babacar,ST,29,68,68,F.C. København,2022 ~ 2025,€1.2M,€11K,1666
22 G. Imbula,CM,28,67,67,Portimonense SC,2021 ~ 2022,€1M,€3K,1764
J. Martin,CM,32,75,75,LOSC Lille,2022 ~ 2024,€4.4M,€29K,2021
M. Perin,GK,29,79,80,Juventus,2018 ~ 2025,€13.5M,€78K,1245
M. Büchel,CDM,31,70,70,Ascoli,2020 ~ 2024,€1.1M,€3K,1878
M. Höger,CDM,32,69,69,SV Waldhof Mannheim 07,2021 ~ 2023,€925K,€3K,1866
J. Guilavogui,CDM,31,75,75,VfL Wolfsburg,2016 ~ 2023,€3.9M,€35K,1916
Samu Sáiz,ST,31,75,75,Girona FC,2019 ~ 2023,€4.8M,€26K,1947
Germán,CB,35,77,77,Racing Santander,2022 ~ 2024,€2.8M,€8K,1614
S. Bell,CB,30,75,75,1. FSV Mainz 05,2010 ~ 2023,€4.6M,€23K,1574
J. Drmić,ST,29,72,72,Dinamo Zagreb,2022 ~ 2024,€2.3M,€850,1866
12 M. Thomas,CDM,18,43,56,Macclesfield Town,2009 ~ 2012,€70K,€500,1164
N. Redmond,LM,28,75,75,Southampton,2016 ~ 2023,€5.5M,€48K,1792
E. Rashani,LM,29,71,71,Clermont Foot 63,2021 ~ 2025,€1.8M,€13K,1770
N. Mendy,CDM,30,74,74,Leicester City,2016 ~ 2023,€3.5M,€53K,1916
V. Aboubakar,ST,30,75,75,Al Nassr,2021 ~ 2024,€5.5M,€38K,1926
A. Losilla,CDM,36,75,75,VfL Bochum 1848,2014 ~ 2023,€1.1M,€15K,1880
M. Rzatkowski,CM,32,67,67,DSC Arminia Bielefeld,2022 ~ 2023,€800K,€7K,1884
M. Gregoritsch,ST,28,75,75,Sport-Club Freiburg,2022 ~ 2022,€6M,€29K,1852
A. Letellier,GK,31,68,68,Paris Saint-Germain,2020 ~ 2024,€650K,€18K,1050
C. Goldson,CB,29,75,76,Rangers FC,2018 ~ 2026,€5M,€44K,1813
Vitolo,LM,32,77,77,Unión Deportiva Las Palmas,"Jun 30, 2023 On Loan",€8.5M,€47K,1948
Wilson Eduardo,ST,31,73,73,Aytemiz Alanyaspor,2021 ~ 2023,€2.6M,€19K,1887
M. Kamiński,CB,30,71,71,FC Schalke 04,2021 ~ 2023,€1.5M,€14K,1757
A. Christiansen,CM,32,75,75,Malmö FF,2018 ~ 2024,€4.4M,€9K,2087
G. Trauner,CB,30,78,78,Feyenoord,2021 ~ 2025,€11.5M,€12K,1949
Campaña,CM,29,78,78,Levante Unión Deportiva,2016 ~ 2023,€13.5M,€16K,2083
N. Lavanchy,RB,28,72,72,FC Sion,2022 ~ 2025,€2.1M,€17K,1943
L. Dunk,CB,30,79,79,Brighton & Hove Albion,2010 ~ 2025,€14.5M,€65K,1774
22 R. van Rhijn,RB,30,67,67,Karlsruher SC,2021 ~ 2022,€875K,€5K,1877
14 J. Dyer,CM,21,52,59,Burton Albion,2010 ~ 2014,€50K,€0,1540
Y. Konoplyanka,LM,32,70,70,Cracovia,2022 ~ 2023,€1.3M,€7K,1803
H. Verhulst,GK,29,68,70,AZ Alkmaar,2020 ~ 2023,€1M,€4K,1194
R. Tafazolli,CB,30,69,69,Wycombe Wanderers,2020 ~ 2023,€1.1M,€5K,1443
A. Merkel,CDM,30,68,68,Gazişehir Gaziantep F.K.,2021 ~ 2023,€1M,€7K,1888
22 T. Ciğerci,CDM,29,72,72,İstanbul Başakşehir FK,2021 ~ 2022,€2M,€24K,1967
C. Evans,ST,33,66,66,Preston North End,2021 ~ 2023,€550K,€11K,1724
D. Welbeck,ST,31,75,75,Brighton & Hove Albion,2020 ~ 2023,€4.8M,€58K,1870
M. Ritchie,RM,32,73,73,Newcastle United,2016 ~ 2023,€2.4M,€57K,2023
B. Espinosa,CB,32,74,74,Girona FC,2017 ~ 2023,€2.7M,€20K,1652
S. Ulreich,GK,33,75,75,FC Bayern München,2021 ~ 2023,€1.8M,€34K,1138
S. Johansen,CM,31,71,71,Queens Park Rangers,2021 ~ 2024,€1.5M,€22K,1971
Rafael Tolói,CB,31,81,81,Atalanta,2015 ~ 2024,€17.5M,€55K,1921
20 E. Hernández,LB,32,68,68,Pachuca,2019 ~ 2020,€550K,€8K,1860
17 D. Johansson,CB,28,61,61,Falkenbergs FF,2009 ~ 2017,€180K,€1K,1499
21 Camacho,CDM,30,74,74,VfL Wolfsburg,2017 ~ 2021,€3.5M,€32K,1893
J. McCarthy,CDM,31,67,67,Celtic,2021 ~ 2025,€725K,€15K,1825
T. Kaminski,GK,29,73,74,Blackburn Rovers,2020 ~ 2025,€2.3M,€27K,1231
22 A. Hernández,ST,30,73,73,Club Atlético de San Luis,2022 ~ 2022,€3M,€15K,1807
L. Négo,RM,31,72,72,,Free,€0,€0,1931
G. Marinelli,GK,32,70,70,Club Atlético Tigre,2018 ~ 2022,€800K,€6K,1144
F. Caputo,ST,34,78,78,U.C. Sampdoria,2022 ~ 2024,€7M,€25K,1871
21 Sandaza,ST,35,65,65,AD Alcorcón,2019 ~ 2021,€300K,€2K,1657
22 R. Bürki,GK,30,79,79,Borussia Dortmund,2015 ~ 2023,€11.5M,€43K,1243
G. Bonaventura,CM,32,78,78,Fiorentina,2020 ~ 2023,€11M,€52K,2136
22 Y. Bolasie,LM,32,71,71,Çaykur Rizespor,2021 ~ 2023,€1.5M,€10K,1818
J. Fleck,CM,30,73,73,Sheffield United,2016 ~ 2023,€2.9M,€23K,2037
Nélson Oliveira,ST,30,72,72,PAOK,2021 ~ 2023,€2.3M,€1K,1825
22 J. Wilshere,CM,29,73,73,Aarhus GF,2022 ~ 2022,€3M,€14K,2013
Aridane,CB,33,76,76,CA Osasuna,2017 ~ 2023,€3.6M,€24K,1689
Muniain,LM,29,84,84,Athletic Club de Bilbao,2009 ~ 2024,€41.5M,€49K,2088
Fábio,LB,31,72,72,FC Nantes,2018 ~ 2023,€1.7M,€17K,1933
B. Mee,CB,32,78,78,Brentford,2022 ~ 2024,€9M,€46K,1779
Kiko Femenía,RB,31,74,74,Villarreal CF,2022 ~ 2025,€3.1M,€24K,1963
C. Main,ST,30,64,64,St. Mirren,2021 ~ 2023,€575K,€2K,1646
De Marcos,RB,33,77,77,Athletic Club de Bilbao,2009 ~ 2023,€5.5M,€25K,2036
Rubén Pérez,CDM,33,75,75,Panathinaikos FC,2021 ~ 2023,€2.8M,€850,1885
M. Hitz,GK,34,78,78,FC Basel 1893,2022 ~ 2025,€2.4M,€17K,1226
D. Le Tallec,CDM,32,71,71,AEK Athens,2021 ~ 2023,€1.2M,€800,1867
N. Clyne,RB,31,74,74,Crystal Palace,2020 ~ 2023,€3.1M,€39K,1930
21 Douglas Costa,LM,29,80,80,FC Bayern München,"Jun 30, 2021 On Loan",€20.5M,€85K,2023
M. Bolly,LM,31,65,65,Molde FK,2019 ~ 2022,€600K,€2K,1633
T. Jantschke,CB,32,72,72,Borussia Mönchengladbach,2009 ~ 2023,€1.5M,€18K,1758
22 E. Mangala,CB,30,73,73,AS Saint-Étienne,2022 ~ 2022,€2.5M,€23K,1684
S. Strandberg,CB,31,71,71,Vålerenga Fotball,2022 ~ 2024,€1.3M,€4K,1659
G. Makaridze,GK,32,73,73,SD Ponferradina,2022 ~ 2024,€1.5M,€7K,1190
H. Nielsen,ST,28,70,70,Hannover 96,2022 ~ 2024,€1.6M,€17K,1848
22 J. Boye,CB,34,72,72,Al Fayha,2021 ~ 2022,€750K,€14K,1573
L. Hrádecký,GK,32,83,83,Bayer 04 Leverkusen,2018 ~ 2023,€18M,€55K,1195
22 E. Salvio,RW,30,78,78,Boca Juniors,2019 ~ 2022,€13.5M,€21K,2049
T. Rincón,CM,34,72,72,U.C. Sampdoria,2022 ~ 2023,€1.1M,€14K,1968
C. Wickham,ST,29,66,66,Forest Green Rovers,2022 ~ 2023,€850K,€4K,1582
10 C. Kullmann,ST,22,62,71,Borussia Dortmund,2011,€0,€0,1222
M. Yoshida,CB,33,73,73,FC Schalke 04,2022 ~ 2023,€1.5M,€18K,1683
22 J. Baffo,CB,28,64,64,Halmstads BK,2020 ~ 2022,€500K,€1K,1527
M. D'Alessandro,LM,31,71,71,AC Monza,2021 ~ 2023,€1.6M,€28K,1767
22 J. Aquino,LWB,31,74,74,Tigres U.A.N.L.,2015 ~ 2024,€3.1M,€34K,2003
E. Stevens,LWB,31,71,71,Sheffield United,2017 ~ 2023,€1.4M,€17K,1783
22 H. Badstuber,CB,32,65,65,FC Luzern,2021 ~ 2022,€475K,€4K,1575
S. Jung,RB,32,68,68,Karlsruher SC,2020 ~ 2023,€825K,€6K,1791
F. Klos,ST,34,70,70,DSC Arminia Bielefeld,2011 ~ 2023,€775K,€12K,1725
M. Đurić,ST,32,70,70,Hellas Verona,2022 ~ 2025,€1.3M,€16K,1602
H. Mkhitaryan,CAM,33,81,81,Inter,2022 ~ 2024,€16M,€74K,2125
A. Pulido,ST,31,72,72,Sporting Kansas City,2020 ~ 2023,€2M,€7K,1845
Y. Ngbakoto,RM,30,68,68,Western Sydney Wanderers,2022 ~ 2023,€1.2M,€5K,1716
Paulo Victor,GK,35,74,74,Ettifaq FC,2022 ~ 2023,€475K,€12K,1119
22 R. Elliot,GK,35,68,68,Watford,2021 ~ 2023,€130K,€9K,1141
E. Viviano,GK,36,72,72,Fatih Karagümrük S.K.,2020 ~ 2023,€250K,€9K,1186
J. Fejzić,GK,36,69,69,Eintracht Braunschweig,2019 ~ 2023,€150K,€4K,978
C. Vela,RW,33,81,81,Los Angeles FC,2018 ~ 2023,€16M,€14K,1962
21 R. Shotton,CB,31,69,69,Melbourne Victory,2020 ~ 2021,€950K,€5K,1714
F. Bastians,LB,34,66,66,Rot-Weiß Essen,2021 ~ 2023,€325K,€2K,1796
22 Gervinho,LW,34,75,75,Trabzonspor,2021 ~ 2023,€2.6M,€27K,1827
21 S. Defour,CM,32,74,74,KV Mechelen,2020 ~ 2021,€3.3M,€14K,2012
José Fonte,CB,38,80,80,LOSC Lille,2018 ~ 2023,€3.8M,€26K,1736
21 Á. Pereira,LB,34,73,73,Club River Plate Asunción,2020 ~ 2025,€1.1M,€650,1980
N. Moisander,CB,36,72,72,Malmö FF,2021 ~ 2022,€425K,€5K,1801
22 V. Moses,RM,30,78,78,Spartak Moskva,2021 ~ 2024,€13.5M,€56K,2082
Manolo Reina,GK,37,71,71,Málaga CF,2022 ~ 2024,€210K,€3K,1219
D. Criscito,CB,35,75,75,Toronto FC,2022 ~ 2023,€1.5M,€6K,2043
S. Mignolet,GK,34,80,80,Club Brugge KV,2019 ~ 2025,€3.6M,€24K,1304
H. Moreno,CB,34,76,76,,Free,€0,€0,1806
B. Amos,GK,32,68,68,Wigan Athletic,2021 ~ 2023,€600K,€4K,1205
C. Gunter,RWB,32,62,62,AFC Wimbledon,2022 ~ 2023,€275K,€2K,1661
M. Bostwick,CDM,34,62,62,Stevenage,2022 ~ 2023,€140K,€2K,1510
K. Boateng,CAM,35,74,74,Hertha BSC,2021 ~ 2023,€1.7M,€19K,2007
W. Reid,CB,33,72,72,,Free,€0,€0,1603
Matheus,RM,39,75,75,Zhejiang Professional FC,2022 ~ 2025,€1.8M,€8K,1809
22 N. Guzmán,GK,35,79,79,Tigres U.A.N.L.,2014 ~ 2022,€1.9M,€26K,1399
21 L. Bender,RB,31,79,79,Bayer 04 Leverkusen,2009 ~ 2021,€12.5M,€59K,1998
21 Beñat,CM,33,77,77,Macarthur FC,2020 ~ 2021,€6.5M,€4K,2009
22 Fabricio,GK,33,71,71,Fulham,2018 ~ 2022,€600K,€24K,1282
K. Grosicki,LM,34,73,73,Pogoń Szczecin,2021 ~ 2024,€1.4M,€9K,1847
E. Capoue,CM,33,80,80,Villarreal CF,2021 ~ 2024,€13M,€39K,2090
22 Ivo,CM,34,75,75,Henan Songshan Longmen FC,2018 ~ 2024,€2.6M,€15K,1989
21 B. Ivanović,CB,36,74,74,West Bromwich Albion,2020 ~ 2021,€750K,€41K,1823
22 M. Sulejmani,LM,32,71,71,BSC Young Boys,2015 ~ 2022,€1.5M,€11K,1770
S. Vokes,ST,32,68,68,Wycombe Wanderers,2021 ~ 2023,€975K,€5K,1744
E. Vecchio,CAM,33,75,75,Racing Club,2022 ~ 2023,€3.5M,€18K,1995
F. Fazio,CB,35,74,74,US Salernitana 1919,2022 ~ 2024,€1.1M,€15K,1521
Alexandre Pato,ST,32,71,71,Orlando City Soccer Club,2021 ~ 2022,€1.5M,€6K,1829
M. Pjanić,CM,32,81,81,FC Barcelona,2020 ~ 2024,€20M,€145K,2137
Marcelo,CB,35,72,72,Western Sydney Wanderers,2022 ~ 2023,€625K,€5K,1662
19 Hernanes,CM,33,78,78,Hebei FC,2017 ~ 2019,€6M,€20K,2022
19 M. McKay,CDM,35,65,65,Brisbane Roar,2013 ~ 2019,€130K,€2K,1759
A. Lallana,CM,34,75,75,Brighton & Hove Albion,2020 ~ 2023,€2.6M,€53K,1998
19 J. Řezníček,ST,30,65,65,Sporting Lokeren,2019 ~ 2021,€525K,€5K,1666
21 Chong Te Se,ST,36,65,65,Shimizu S-Pulse,2017 ~ 2022,€240K,€1K,1732
Hao Junmin,CDM,35,69,69,,Free,€0,€0,1951
22 V. Cáceres,CDM,35,70,70,12 de Octubre FC,2021 ~ 2021,€450K,€500,1872
22 H. Nordtveit,CB,31,72,72,TSG Hoffenheim,2017 ~ 2022,€1.6M,€21K,1844
22 V. Stocker,LM,32,72,72,FC Basel 1893,2018 ~ 2023,€1.9M,€11K,1879
A. Rami,CB,36,71,71,ESTAC Troyes,2021 ~ 2023,€325K,€8K,1595
J. Berget,RW,31,69,69,Malmö FF,2019 ~ 2022,€1.2M,€5K,1935
21 M. Parolo,CDM,35,79,79,Lazio,2014 ~ 2021,€4.9M,€40K,2092
22 J. Spearing,CDM,32,65,65,Tranmere Rovers,2020 ~ 2022,€475K,€3K,1824
E. Choupo-Moting,ST,33,75,75,FC Bayern München,2020 ~ 2023,€3.6M,€50K,1831
N. Petersen,ST,33,74,74,Sport-Club Freiburg,2015 ~ 2025,€2.7M,€26K,1768
22 D. Perotti,LM,32,74,74,US Salernitana 1919,2022 ~ 2022,€3.3M,€35K,1810
Fernando,CDM,34,83,83,Sevilla FC,2019 ~ 2024,€12.5M,€39K,2045
A. Moris,GK,32,74,74,Royale Union Saint-Gilloise,2020 ~ 2023,€2.1M,€11K,1286
C. Basham,CB,33,73,73,Sheffield United,2014 ~ 2024,€1.5M,€21K,1720
22 Alan Kardec,ST,32,77,77,Shenzhen FC,2021 ~ 2022,€8.5M,€15K,1888
José Callejón,RW,35,75,75,Granada CF,2022 ~ 2023,€2.3M,€10K,1942
22 A. Kolarov,LWB,35,77,77,Inter,2020 ~ 2022,€3.2M,€52K,2143
K. Gibbs,LB,32,68,68,Inter Miami CF,2021 ~ 2022,€825K,€3K,1858
13 P. Scholes,CM,37,80,80,Manchester United,1993 ~ 2013,€400K,€40K,2065
18 C. Day,GK,41,57,57,Stevenage,2008 ~ 2018,€7K,€1K,825
16 J. Saviola,CF,33,75,75,River Plate,2015 ~ 2016,€2.7M,€50K,1779
19 A. Bizzarri,GK,40,73,73,Perugia,"Jun 30, 2019 On Loan",€275K,€2K,1182
19 M. Tyler,GK,41,59,59,Peterborough United,2016 ~ 2021,€10K,€1K,1031
R. Santa Cruz,ST,40,71,71,Club Libertad,2022 ~ 2022,€0,€500,1583
17 D. Drogba,ST,38,81,81,,Free,€0,€0,1956
13 M. Baroš,ST,30,77,77,Galatasaray SK,2008 ~ 2013,€3.6M,€40K,1824
C. Gordon,GK,39,74,74,Heart of Midlothian,2020 ~ 2024,€475K,€3K,1206
18 P. Mertesacker,CB,32,80,80,Arsenal,2011 ~ 2018,€8.5M,€110K,1537
R. Jarstein,GK,37,72,72,Hertha BSC,2014 ~ 2023,€250K,€10K,1150
R. Ziegler,CB,36,68,68,FC Lugano,2021 ~ 2023,€220K,€3K,1848
07 Romero,CB,35,78,84,Real Betis Balompié,2008,€0,€0,1397
16 Óscar,CAM,32,72,72,Real Valladolid CF,2010 ~ 2016,€1.7M,€20K,1852
20 David Villa,ST,37,79,79,Vissel Kobe,2019 ~ 2020,€3.7M,€10K,1951
Rubén Castro,ST,41,73,73,Málaga CF,2022 ~ 2023,€0,€7K,1855
20 B. Schweinsteiger,CB,34,75,75,,Free,€0,€0,1999
H. Kaldırım,LB,32,70,70,İstanbul Başakşehir FK,2020 ~ 2023,€1.1M,€18K,1847
A. Hutchinson,CM,39,72,72,Beşiktaş JK,2013 ~ 2023,€750K,€22K,1945
14 Alex,CAM,35,80,80,Coritiba,2012 ~ 2014,€3.6M,€45K,1909
22 G. Pandev,ST,37,72,72,Parma,2022 ~ 2022,€800K,€3K,1798
22 Vágner Love,ST,37,72,72,FC Midtjylland,2022 ~ 2022,€800K,€16K,1835
18 M. Storari,GK,40,76,76,AC Milan,2017 ~ 2018,€525K,€40K,1200
17 E. Cambiasso,CM,35,77,77,Olympiacos CFP,2015 ~ 2021,€2.4M,€2K,2028
J. Milner,CM,36,78,78,Liverpool,2015 ~ 2023,€4.4M,€69K,2124
17 D. Williams,ST,32,63,63,Gefle IF,2014 ~ 2021,€275K,€2K,1579
18 W. Sneijder,CAM,33,83,83,OGC Nice,2017 ~ 2020,€15.5M,€50K,1964
19 R. Braña,CDM,39,70,70,Estudiantes de La Plata,2016 ~ 2019,€120K,€6K,1799
19 T. Zengin,GK,34,72,72,Beşiktaş JK,2013 ~ 2019,€1.3M,€20K,1052
16 S. Şentürk,ST,32,72,72,İstanbul Başakşehir FK,2014 ~ 2016,€1.7M,€25K,1722
Andrés Fernández,GK,35,73,73,SD Huesca,2020 ~ 2023,€350K,€5K,1304
18 Gabi,CM,33,81,81,Atlético de Madrid,2011 ~ 2018,€10.5M,€60K,2116
18 K. Wæhler,CB,41,67,67,Sogndal Fotball,2017 ~ 2021,€0,€2K,1341
21 K. Huntelaar,ST,36,73,73,FC Schalke 04,2021 ~ 2021,€1M,€18K,1755
20 M. Gómez,ST,33,74,74,VfB Stuttgart,2018 ~ 2020,€3.5M,€26K,1710
S. Davis,CM,37,73,73,Rangers FC,2019 ~ 2023,€950K,€29K,1946
J. Sand,ST,41,74,74,Club Atlético Lanús,2019 ~ 2022,€0,€12K,1777
A. McGeady,LM,36,67,67,Hibernian,2022 ~ 2023,€325K,€2K,1792
22 R. Snodgrass,CM,33,71,71,Luton Town,2022 ~ 2022,€1.2M,€10K,1907
09 J. Sorín,LWB,32,75,84,Cruzeiro,2008,€0,€0,1511
A. Talavera,GK,39,79,79,,Free,€0,€0,1345
H. Herrera,CM,32,80,80,Houston Dynamo,2022 ~ 2024,€16.5M,€12K,2123
22 T. Vermaelen,CB,35,75,75,Vissel Kobe,2019 ~ 2022,€1.5M,€7K,1829
B. Costil,GK,34,75,75,AJ Auxerre,2022 ~ 2023,€950K,€14K,1167
15 L. Mulemo,LB,27,65,65,KV Kortrijk,2011 ~ 2015,€475K,€7K,1823
L. Biglia,CDM,36,76,76,İstanbul Başakşehir FK,2022 ~ 2023,€1.5M,€23K,1971
22 B. Watson,CDM,35,62,62,Charlton Athletic,2020 ~ 2022,€110K,€1K,1687
M. Boselli,ST,37,76,76,Estudiantes de La Plata,2022 ~ 2022,€2.6M,€12K,1817
21 Borja Valero,CM,35,76,76,Fiorentina,2020 ~ 2021,€3M,€34K,1935
Cesc Fàbregas,CM,35,73,73,Como,2022 ~ 2024,€1.2M,€3K,1842
22 B. Foster,GK,38,77,77,Watford,2018 ~ 2022,€1.2M,€25K,1253
20 S. Naismith,ST,32,72,72,Heart of Midlothian,2019 ~ 2023,€2.5M,€8K,2013
19 Filipe Luís,LB,32,85,85,Atlético de Madrid,2015 ~ 2019,€21.5M,€80K,2141
22 G. Cahill,CB,35,74,74,AFC Bournemouth,2021 ~ 2022,€1.1M,€20K,1639
B. Guzan,GK,37,67,67,Atlanta United,2017 ~ 2023,€110K,€1K,1153
Bebé,RM,31,74,74,Rayo Vallecano,2018 ~ 2025,€3.5M,€18K,1939
21 A. Valencia,RB,34,78,78,Gallos Blancos de Querétaro,2021 ~ 2025,€5M,€13K,2077
22 R. Elliot,GK,35,68,68,Watford,2021 ~ 2023,€130K,€9K,1141
Martim Tavares,ST,18,62,79,Boavista FC,2021 ~ 2023,€1M,€1K,1451
W. Sibon,GK,18,55,67,FC Emmen,2022 ~ 2023,€250K,€500,862
D. Rrudhani,LM,23,66,75,BSC Young Boys,2022 ~ 2026,€1.9M,€6K,1654
K. Peersman,GK,18,60,81,PSV,2020 ~ 2026,€700K,€500,830
M. Achi,CM,20,60,74,FC Nantes,2022 ~ 2025,€600K,€3K,1605
J. Affamah,ST,20,61,73,FC Nantes,2022 ~ 2025,€800K,€4K,1515
L. Doucet,CDM,19,58,68,FC Nantes,2021 ~ 2025,€425K,€2K,1493
S. Yepie Yepie,LM,19,59,75,FC Nantes,2022 ~ 2023,€575K,€2K,1454
A. Diyaeddine,LB,23,58,65,Pau FC,2022 ~ 2025,€400K,€750,1427
Euse Monzó,CB,21,62,70,SD Huesca,2022 ~ 2023,€825K,€1K,1397
G. Grotta,GK,17,56,75,Palermo,2022 ~ 2025,€325K,€500,841
A. Al-Hamawi,ST,18,58,74,Helsingborgs IF,2022 ~ 2023,€525K,€500,1353
M. Peretti,CB,22,62,69,Palermo,2022 ~ 2023,€750K,€800,1403
D. Taşkan,LW,22,65,73,Ümraniyespor,2020 ~ 2024,€1.6M,€4K,1580
S. Hamulic,LM,21,62,71,PGE FKS Stal Mielec,2022 ~ 2024,€900K,€650,1553
A. Oyono,RB,21,63,70,Frosinone,2022 ~ 2024,€925K,€550,1525
A. Satariano,LW,20,58,69,Frosinone,2021 ~ 2024,€450K,€550,1495
W. Osula,ST,18,55,74,Sheffield United,2021 ~ 2023,€325K,€2K,1355
J. Bjarnason,CM,17,53,76,IFK Norrköping,2021 ~ 2023,€300K,€500,1448
K. Oduroh,RB,19,54,70,Derby County,2022 ~ 2024,€275K,€600,1320
A. Makoumbou,CM,23,66,71,Cagliari,2022 ~ 2026,€1.3M,€1K,1796
V. Kwasniak,CDM,19,51,68,Brøndby IF,2022 ~ 2022,€140K,€1K,1502
R. Flamingo,CB,19,66,78,Vitesse,"Jun 30, 2023 On Loan",€1.9M,€4K,1785
S. MacDonald,GK,25,61,64,Cheltenham Town,2022 ~ 2023,€325K,€1K,1027
I. Hautekiet,CB,20,62,76,Club Brugge KV,2022 ~ 2024,€900K,€3K,1461
M. Didden,CDM,20,59,72,KRC Genk,2022 ~ 2025,€525K,€2K,1465
K. Jodłowski,CDM,23,58,64,Cracovia,2022 ~ 2025,€300K,€1K,1501
N. Sadaoui,LM,28,62,62,FC Goa,2022 ~ 2024,€400K,€500,1609
M. Tolba,RB,17,62,74,VfL Bochum 1848,2022 ~ 2027,€875K,€500,1538
L. Hallaert,ST,19,61,74,SV Zulte Waregem,2022 ~ 2024,€775K,€2K,1482
T. Geralnik,CAM,19,62,78,Villarreal Club de Fútbol B,2020 ~ 2023,€1M,€900,1569
S. Ghidotti,GK,22,50,57,Como,"Jun 30, 2023 On Loan",€80K,€4K,809
J. Pradic,GK,16,53,75,Preston North End,2022 ~ 2024,€275K,€500,849
A. Guðjohnsen,ST,20,59,72,IFK Norrköping,2022 ~ 2022,€550K,€1K,1415
N. Benbouali,ST,22,68,75,Royal Charleroi S.C.,2022 ~ 2025,€2.5M,€6K,1562
I. Salah,ST,20,57,68,KAA Gent,2021 ~ 2027,€375K,€3K,1395
D. Djamas,LB,18,58,74,,Free,€0,€0,1405
A. Amenda,CB,18,56,76,BSC Young Boys,2022 ~ 2025,€375K,€900,1247
Diego Callai,GK,17,64,78,Sporting CP,2022 ~ 2026,€1.2M,€500,851
N. Pierozzi,RM,20,60,71,Urbs Reggina 1914 ,2022 ~ 2024,€550K,€500,1519
A. Ghasem,RB,19,52,66,IFK Göteborg,2022 ~ 2024,€180K,€500,1289
M. Stoppa,CF,21,59,68,Palermo,"Jun 30, 2023 On Loan",€500K,€3K,1484
B. Nelson,CB,18,58,78,Rochdale,"Jun 30, 2023 On Loan",€525K,€3K,1424
Adu Ares,RM,20,63,77,Athletic Club de Bilbao,2022 ~ 2023,€1.2M,€4K,1559
N. Vukancic,CB,20,58,67,Fortuna Düsseldorf,2022 ~ 2023,€425K,€2K,1388
J. Amissah,GK,20,52,66,Sheffield United,2021 ~ 2023,€170K,€2K,851
M. Tepe,GK,21,60,70,Trabzonspor,2020 ~ 2025,€475K,€2K,1095
D. Agyakwa,CB,20,56,68,Port Vale,2022 ~ 2024,€325K,€1K,1251
Gabriel Silva,LM,20,68,82,Santa Clara,2022 ~ 2023,€2.9M,€2K,1669
A. Brînzea,GK,16,48,72,AFC Chindia Târgoviște,2022 ~ 2027,€130K,€500,805
C. Bucuroiu,RW,18,54,69,AFC Hermannstadt,2022 ~ 2027,€250K,€500,1358
Joan González,CM,20,59,70,Lecce,2022 ~ 2023,€500K,€2K,1650
O. Megeed,LW,16,57,77,Hamburger SV,2022 ~ 2027,€450K,€500,1392
J. Jones,LWB,20,55,64,Forest Green Rovers,2022 ~ 2023,€275K,€1K,1501
S. Nongoh,RM,18,60,78,Adana Demirspor,2022 ~ 2023,€625K,€1K,1542
Y. Gomis,CB,16,53,79,Le Havre AC,2022 ~ 2027,€350K,€500,1233
D. Jean,ST,19,62,76,RC Strasbourg Alsace,2022 ~ 2025,€950K,€3K,1549
M. Opeyemi,CAM,18,63,73,FC Vizela,2022 ~ 2024,€1M,€500,1691
P. Saathof,CM,18,56,74,Go Ahead Eagles,2022 ~ 2023,€350K,€550,1544
Alcedo,LB,21,62,68,Albacete BP,2022 ~ 2025,€600K,€1K,1503
Augusto Dabo,LB,19,61,78,Boavista FC,2022 ~ 2027,€825K,€1K,1461
Joel Silva,CM,19,60,71,Boavista FC,2021 ~ 2027,€525K,€1K,1616
Mario Gila,CB,21,62,73,Lazio,2022 ~ 2027,€825K,€5K,1550
I. Danlad,GK,19,68,79,,Free,€0,€0,1021
Thiago,LM,21,55,64,Houston Dynamo,2022 ~ 2022,€275K,€950,1413
B. Raines,CDM,17,50,74,Houston Dynamo,2022 ~ 2023,€140K,€500,1442
D. Lobban,CAM,16,53,79,Aberdeen,2022 ~ 2024,€375K,€500,1422
H. Erkip,LM,19,57,78,Yukatel Kayserispor,2022 ~ 2026,€525K,€2K,1443
Iván Gil,CAM,22,61,71,FC Andorra,2021 ~ 2023,€725K,€1K,1459
Álex Pastor,CB,22,64,76,FC Andorra,2020 ~ 2024,€1.4M,€2K,1454
